A̱o_mes,Fecha de pago esperada,Fecha de Pago,Delta de pago
2020_05,2020-05-05,2020-04-29,6
2020_06,2020-06-05,2020-05-30,6
2020_07,2020-07-05,2020-06-29,6
2020_08,2020-08-05,2020-07-30,6
2020_09,2020-09-05,2020-08-29,7
2020_10,2020-10-05,2020-09-30,5
2020_11,2020-11-05,2020-10-29,7
2020_12,2020-12-05,2020-11-30,5
2021_01,2021-01-05,2020-12-28,8
2021_02,2021-02-05,2021-01-29,7
2021_03,2021-03-05,2021-02-26,7
2021_04,2021-04-05,2021-03-30,6
2021_05,2021-05-05,2021-04-29,6
2021_06,2021-06-05,2021-05-31,5
2021_07,2021-07-05,2021-06-29,6
2021_08,2021-08-05,2021-07-27,9
2021_09,2021-09-05,2021-08-30,6
2021_10,2021-10-05,2021-09-29,6
2021_11,2021-11-05,2021-10-28,8
2021_12,2021-12-05,2021-11-29,6
2022_01,2022-01-05,2021-12-28,8
2022_02,2022-02-05,2022-01-28,8
2022_03,2022-03-05,2022-02-28,5
2022_04,2022-03-05,2022-02-28,5
2022_05,2022-05-05,2022-04-28,7
2022_06,2022-06-05,2022-05-20,16
2022_07,2022-06-05,2022-05-20,16
2022_08,2022-08-05,2022-07-27,9
2022_09,2022-09-05,2022-08-30,6
2022_10,2022-10-05,2022-09-26,9
2022_11,2022-11-05,2022-10-27,9
2022_12,2022-12-05,2022-11-29,6
2023_01,2022-12-05,2022-11-29,6
2023_02,2023-02-05,2023-01-31,5
2023_03,2023-03-05,2023-02-27,6
2023_04,2023-04-05,2023-03-30,6
2023_05,2023-05-05,2023-04-28,7
2023_06,2023-06-05,2023-05-25,11
2023_07,2023-07-05,2023-06-24,11
2023_08,2023-08-05,2023-07-26,10
2023_09,2023-09-05,2023-08-26,10
2023_10,2023-10-05,2023-09-13,22
2023_11,2023-11-05,2023-10-28,8
2023_12,2023-11-05,2023-10-30,6
2024_01,2024-01-05,2023-12-30,6
2024_02,2024-02-05,2024-01-26,10
2024_03,2024-03-05,2024-02-26,8
2024_04,2024-04-05,2024-03-27,9
2024_05,2024-05-05,2024-04-22,13
2024_06,2024-06-05,2024-05-28,8
2024_07,2024-07-05,2024-06-24,11
2024_08,2024-08-05,2024-07-26,10
2024_09,2024-09-05,2024-08-28,8
2024_10,2024-10-05,2024-09-26,9
2024_11,2024-11-05,2024-10-29,7
2024_12,2024-12-05,2024-11-30,5
2025_01,2025-01-05,2024-12-27,9
2025_02,2025-02-05,2025-01-27,9
2025_03,2025-03-05,2025-02-23,10
